Word,Sentiment
abandon,0
abandoned,0
abandoning,0
abandonment,0
abandonments,0
abandons,0
abdicated,0
abdicates,0
abdicating,0
abdication,0
abdications,0
aberrant,0
aberration,0
aberrational,0
aberrations,0
abetting,0
abeyance,0
abeyances,0
able,1
abnormal,0
abnormalities,0
abnormality,0
abnormally,0
abolish,0
abolished,0
abolishes,0
abolishing,0
abrogate,0
abrogated,0
abrogates,0
abrogating,0
abrogation,0
abrogations,0
abrupt,0
abruptly,0
abruptness,0
absence,0
absences,0
absenteeism,0
abundance,1
abundant,1
abuse,0
abused,0
abuses,0
abusing,0
abusive,0
abusively,0
abusiveness,0
accident,0
accidental,0
accidentally,0
accidents,0
acclaimed,1
accomplish,1
accomplished,1
accomplishes,1
accomplishing,1
accomplishment,1
accomplishments,1
accusation,0
accusations,0
accuse,0
accused,0
accuses,0
accusing,0
achieve,1
achieved,1
achievement,1
achievements,1
achieves,1
achieving,1
acquiesce,0
acquiesced,0
acquiesces,0
acquiescing,0
acquit,0
acquits,0
acquittal,0
acquittals,0
acquitted,0
acquitting,0
adequately,1
adulterate,0
adulterated,0
adulterating,0
adulteration,0
adulterations,0
advancement,1
advancements,1
advances,1
advancing,1
advantage,1
advantaged,1
advantageous,1
advantageously,1
advantages,1
adversarial,0
adversaries,0
adversary,0
adverse,0
adversely,0
adversities,0
adversity,0
aftermath,0
aftermaths,0
against,0
aggravate,0
aggravated,0
aggravates,0
aggravating,0
aggravation,0
aggravations,0
alerted,0
alerting,0
alienate,0
alienated,0
alienates,0
alienating,0
alienation,0
alienations,0
allegation,0
allegations,0
allege,0
alleged,0
allegedly,0
alleges,0
alleging,0
alliance,1
alliances,1
almost,0
alteration,0
alterations,0
ambiguities,0
ambiguity,0
ambiguous,0
annoy,0
annoyance,0
annoyances,0
annoyed,0
annoying,0
annoys,0
annul,0
annulled,0
annulling,0
annulment,0
annulments,0
annuls,0
anomalies,0
anomalous,0
anomalously,0
anomaly,0
anticipate,0
anticipated,0
anticipates,0
anticipating,0
anticipation,0
anticipations,0
anticompetitive,0
antitrust,0
apparent,0
apparently,0
appear,0
appeared,0
appearing,0
appears,0
approximate,0
approximated,0
approximately,0
approximates,0
approximating,0
approximation,0
approximations,0
arbitrarily,0
arbitrariness,0
arbitrary,0
argue,0
argued,0
arguing,0
argument,0
argumentative,0
arguments,0
arrearage,0
arrearages,0
arrears,0
arrest,0
arrested,0
arrests,0
artificially,0
assault,0
assaulted,0
assaulting,0
assaults,0
assertions,0
assume,0
assumed,0
assumes,0
assuming,0
assumption,0
assumptions,0
assure,1
assured,1
assures,1
assuring,1
attain,1
attained,1
attaining,1
attainment,1
attainments,1
attains,1
attractive,1
attractiveness,1
attrition,0
aversely,0
backdating,0
bad,0
bail,0
bailout,0
balk,0
balked,0
bankrupt,0
bankruptcies,0
bankruptcy,0
bankrupted,0
bankrupting,0
bankrupts,0
bans,0
barred,0
barrier,0
barriers,0
beautiful,1
beautifully,1
believe,0
believed,0
believes,0
believing,0
beneficial,-2020
beneficially,1
benefit,-2020
benefited,1
benefiting,1
benefitted,1
benefitting,1
best,1
better,1
bolstered,1
bolstering,1
bolsters,1
boom,1
booming,1
boost,1
boosted,1
bottleneck,0
bottlenecks,0
boycott,0
boycotted,0
boycotting,0
boycotts,0
breach,0
breached,0
breaches,0
breaching,0
break,0
breakage,0
breakages,0
breakdown,0
breakdowns,0
breaking,0
breaks,0
breakthrough,1
breakthroughs,1
bribe,0
bribed,0
briberies,0
bribery,0
bribes,0
bribing,0
bridge,0
brilliant,1
broken,0
burden,0
burdened,0
burdening,0
burdens,0
burdensome,0
burned,0
calamities,0
calamitous,0
calamity,0
cancel,0
canceled,0
canceling,0
cancellation,0
cancellations,0
cancelled,0
cancelling,0
cancels,0
careless,0
carelessly,0
carelessness,0
catastrophe,0
catastrophes,0
catastrophic,0
catastrophically,0
caution,0
cautionary,0
cautioned,0
cautioning,0
cautions,0
cautious,0
cautiously,0
cautiousness,0
cease,0
ceased,0
ceases,0
ceasing,0
censure,0
censured,0
censures,0
censuring,0
challenge,0
challenged,0
challenges,0
challenging,0
chargeoffs,0
charitable,1
circumvent,0
circumvented,0
circumventing,0
circumvention,0
circumventions,0
circumvents,0
claiming,0
claims,0
clarification,0
clarifications,0
clawback,0
closed,0
closeout,0
closeouts,0
closing,0
closings,0
closure,0
closures,0
coerce,0
coerced,0
coerces,0
coercing,0
coercion,0
coercive,0
collaborate,1
collaborated,1
collaborates,1
collaborating,1
collaboration,1
collaborations,1
collaborative,1
collaborator,1
collaborators,1
collapse,0
collapsed,0
collapses,0
collapsing,0
collision,0
collisions,0
collude,0
colluded,0
colludes,0
colluding,0
collusion,0
collusions,0
collusive,0
complain,0
complained,0
complaining,0
complains,0
complaint,0
complaints,0
complicate,0
complicated,0
complicates,0
complicating,0
complication,0
complications,0
compliment,1
complimentary,1
complimented,1
complimenting,1
compliments,1
compulsion,0
concealed,0
concealing,0
concede,0
conceded,0
concedes,0
conceding,0
conceivable,0
conceivably,0
concern,0
concerned,0
concerns,0
conciliating,0
conciliation,0
conciliations,0
conclusive,1
conclusively,1
condemn,0
condemnation,0
condemnations,0
condemned,0
condemning,0
condemns,0
conditional,0
conditionally,0
condone,0
condoned,0
conducive,1
confess,0
confessed,0
confesses,0
confessing,0
confession,0
confident,1
confine,0
confined,0
confinement,0
confinements,0
confines,0
confining,0
confiscate,0
confiscated,0
confiscates,0
confiscating,0
confiscation,0
confiscations,0
conflict,0
conflicted,0
conflicting,0
conflicts,0
confront,0
confrontation,0
confrontational,0
confrontations,0
confronted,0
confronting,0
confronts,0
confuse,0
confused,0
confuses,0
confusing,0
confusingly,0
confusion,0
conspiracies,0
conspiracy,0
conspirator,0
conspiratorial,0
conspirators,0
conspire,0
conspired,0
conspires,0
conspiring,0
constructive,1
constructively,1
contempt,0
contend,0
contended,0
contending,0
contends,0
contention,0
contentions,0
contentious,0
contentiously,0
contested,0
contesting,0
contingencies,0
contingency,0
contingent,0
contingently,0
contingents,0
contraction,0
contractions,0
contradict,0
contradicted,0
contradicting,0
contradiction,0
contradictions,0
contradictory,0
contradicts,0
contrary,0
controversial,0
controversies,0
controversy,0
convict,0
convicted,0
convicting,0
conviction,0
convictions,0
corrected,0
correcting,0
correction,0
corrections,0
corrects,0
corrupt,0
corrupted,0
corrupting,0
corruption,0
corruptions,0
corruptly,0
corruptness,0
costly,0
could,0
counterclaim,0
counterclaimed,0
counterclaiming,0
counterclaims,0
counterfeit,0
counterfeited,0
counterfeiter,0
counterfeiters,0
counterfeiting,0
counterfeits,0
countermeasure,0
countermeasures,0
courteous,1
creative,1
creatively,1
creativeness,1
creativity,1
crime,0
crimes,0
criminal,0
criminally,0
criminals,0
crises,0
crisis,0
critical,0
critically,0
criticism,0
criticisms,0
criticize,0
criticized,0
criticizes,0
criticizing,0
crossroad,0
crossroads,0
crucial,0
crucially,0
culpability,0
culpable,0
culpably,0
cumbersome,0
curtail,0
curtailed,0
curtailing,0
curtailment,0
curtailments,0
curtails,0
cut,0
cutback,0
cutbacks,0
cyberattack,0
cyberattacks,0
cyberbullying,0
cybercrime,0
cybercrimes,0
cybercriminal,0
cybercriminals,0
damage,0
damaged,0
damages,0
damaging,0
dampen,0
dampened,0
danger,0
dangerous,0
dangerously,0
dangers,0
deadlock,0
deadlocked,0
deadlocking,0
deadlocks,0
deadweight,0
deadweights,0
debarment,0
debarments,0
debarred,0
deceased,0
deceit,0
deceitful,0
deceitfulness,0
deceive,0
deceived,0
deceives,0
deceiving,0
deception,0
deceptions,0
deceptive,0
deceptively,0
decline,0
declined,0
declines,0
declining,0
deface,0
defaced,0
defacement,0
defamation,0
defamations,0
defamatory,0
defame,0
defamed,0
defames,0
defaming,0
default,0
defaulted,0
defaulting,0
defaults,0
defeat,0
defeated,0
defeating,0
defeats,0
defect,0
defective,0
defects,0
defend,0
defendant,0
defendants,0
defended,0
defending,0
defends,0
defensive,0
defer,0
deficiencies,0
deficiency,0
deficient,0
deficit,0
deficits,0
defraud,0
defrauded,0
defrauding,0
defrauds,0
defunct,0
degradation,0
degradations,0
degrade,0
degraded,0
degrades,0
degrading,0
delay,0
delayed,0
delaying,0
delays,0
deleterious,0
deliberate,0
deliberated,0
deliberately,0
delight,1
delighted,1
delightful,1
delightfully,1
delighting,1
delights,1
delinquencies,0
delinquency,0
delinquent,0
delinquently,0
delinquents,0
delist,0
delisted,0
delisting,0
delists,0
demise,0
demised,0
demises,0
demising,0
demolish,0
demolished,0
demolishes,0
demolishing,0
demolition,0
demolitions,0
demote,0
demoted,0
demotes,0
demoting,0
demotion,0
demotions,0
denial,0
denials,0
denied,0
denies,0
denigrate,0
denigrated,0
denigrates,0
denigrating,0
denigration,0
deny,0
denying,0
depend,0
dependability,1
dependable,1
depended,0
dependence,0
dependencies,0
dependency,0
dependent,0
depending,0
depends,0
deplete,0
depleted,0
depletes,0
depleting,0
depletion,0
depletions,0
deprecation,0
depress,0
depressed,0
depresses,0
depressing,0
deprivation,0
deprive,0
deprived,0
deprives,0
depriving,0
derelict,0
dereliction,0
derogatory,0
desirable,1
desired,1
despite,1
destabilization,0
destabilize,0
destabilized,0
destabilizing,0
destined,1
destroy,0
destroyed,0
destroying,0
destroys,0
destruction,0
destructive,0
detain,0
detained,0
detention,0
detentions,0
deter,0
deteriorate,0
deteriorated,0
deteriorates,0
deteriorating,0
deterioration,0
deteriorations,0
deterred,0
deterrence,0
deterrences,0
deterrent,0
deterrents,0
deterring,0
deters,0
detract,0
detracted,0
detracting,0
detriment,0
detrimental,0
detrimentally,0
detriments,0
devalue,0
devalued,0
devalues,0
devaluing,0
devastate,0
devastated,0
devastating,0
devastation,0
deviate,0
deviated,0
deviates,0
deviating,0
deviation,0
deviations,0
devolve,0
devolved,0
devolves,0
devolving,0
differ,0
differed,0
differing,0
differs,0
difficult,0
difficulties,0
difficultly,0
difficulty,0
diligent,1
diligently,1
diminish,0
diminished,0
diminishes,0
diminishing,0
diminution,0
disadvantage,0
disadvantaged,0
disadvantageous,0
disadvantages,0
disaffiliation,0
disagree,0
disagreeable,0
disagreed,0
disagreeing,0
disagreement,0
disagreements,0
disagrees,0
disallow,0
disallowance,0
disallowances,0
disallowed,0
disallowing,0
disallows,0
disappear,0
disappearance,0
disappearances,0
disappeared,0
disappearing,0
disappears,0
disappoint,0
disappointed,0
disappointing,0
disappointingly,0
disappointment,0
disappointments,0
disappoints,0
disapproval,0
disapprovals,0
disapprove,0
disapproved,0
disapproves,0
disapproving,0
disassociates,0
disassociating,0
disassociation,0
disassociations,0
disaster,0
disasters,0
disastrous,0
disastrously,0
disavow,0
