Word,Negative,Positive,Uncertainty
abandon,2009,0,0
abandoned,2009,0,0
abandoning,2009,0,0
abandonment,2009,0,0
abandonments,2009,0,0
abandons,2009,0,0
abdicated,2009,0,0
abdicates,2009,0,0
abdicating,2009,0,0
abdication,2009,0,0
abdications,2009,0,0
aberrant,2009,0,0
aberration,2009,0,0
aberrational,2009,0,0
aberrations,2009,0,0
abetting,2009,0,0
abeyance,0,0,2009
abeyances,0,0,2009
able,0,2009,0
abnormal,2009,0,0
abnormalities,2009,0,0
abnormality,2009,0,0
abnormally,2009,0,0
abolish,2009,0,0
abolished,2009,0,0
abolishes,2009,0,0
abolishing,2009,0,0
abrogate,2009,0,0
abrogated,2009,0,0
abrogates,2009,0,0
abrogating,2009,0,0
abrogation,2009,0,0
abrogations,2009,0,0
abrupt,2009,0,0
abruptly,2009,0,0
abruptness,2009,0,0
absence,2009,0,0
absences,2009,0,0
absenteeism,2009,0,0
abundance,0,2009,0
abundant,0,2009,0
abuse,2009,0,0
abused,2009,0,0
abuses,2009,0,0
abusing,2009,0,0
abusive,2009,0,0
abusively,2009,0,0
abusiveness,2009,0,0
accident,2009,0,0
accidental,2009,0,0
accidentally,2009,0,0
accidents,2009,0,0
acclaimed,0,2009,0
accomplish,0,2009,0
accomplished,0,2009,0
accomplishes,0,2009,0
accomplishing,0,2009,0
accomplishment,0,2009,0
accomplishments,0,2009,0
accusation,2009,0,0
accusations,2009,0,0
accuse,2009,0,0
accused,2009,0,0
accuses,2009,0,0
accusing,2009,0,0
achieve,0,2009,0
achieved,0,2009,0
achievement,0,2009,0
achievements,0,2009,0
achieves,0,2009,0
achieving,0,2009,0
acquiesce,2009,0,0
acquiesced,2009,0,0
acquiesces,2009,0,0
acquiescing,2009,0,0
acquit,2009,0,0
acquits,2009,0,0
acquittal,2009,0,0
acquittals,2009,0,0
acquitted,2009,0,0
acquitting,2009,0,0
adequately,0,2009,0
adulterate,2009,0,0
adulterated,2009,0,0
adulterating,2009,0,0
adulteration,2009,0,0
adulterations,2009,0,0
advancement,0,2009,0
advancements,0,2009,0
advances,0,2009,0
advancing,0,2009,0
advantage,0,2009,0
advantaged,0,2009,0
advantageous,0,2009,0
advantageously,0,2009,0
advantages,0,2009,0
adversarial,2009,0,0
adversaries,2009,0,0
adversary,2009,0,0
adverse,2009,0,0
adversely,2009,0,0
adversities,2009,0,0
adversity,2009,0,0
aftermath,2009,0,0
aftermaths,2009,0,0
against,2009,0,0
aggravate,2009,0,0
aggravated,2009,0,0
aggravates,2009,0,0
aggravating,2009,0,0
aggravation,2009,0,0
aggravations,2009,0,0
alerted,2009,0,0
alerting,2009,0,0
alienate,2009,0,0
alienated,2009,0,0
alienates,2009,0,0
alienating,2009,0,0
alienation,2009,0,0
alienations,2009,0,0
allegation,2009,0,0
allegations,2009,0,0
allege,2009,0,0
alleged,2009,0,0
allegedly,2009,0,0
alleges,2009,0,0
alleging,2009,0,0
alliance,0,2009,0
alliances,0,2009,0
almost,0,0,2009
alteration,0,0,2009
alterations,0,0,2009
ambiguities,0,0,2009
ambiguity,0,0,2009
ambiguous,0,0,2009
annoy,2009,0,0
annoyance,2009,0,0
annoyances,2009,0,0
annoyed,2009,0,0
annoying,2009,0,0
annoys,2009,0,0
annul,2009,0,0
annulled,2009,0,0
annulling,2009,0,0
annulment,2009,0,0
annulments,2009,0,0
annuls,2009,0,0
anomalies,2009,0,2009
anomalous,2009,0,2009
anomalously,2009,0,2009
anomaly,2009,0,2009
anticipate,0,0,2009
anticipated,0,0,2009
anticipates,0,0,2009
anticipating,0,0,2009
anticipation,0,0,2009
anticipations,0,0,2009
anticompetitive,2009,0,0
antitrust,2009,0,0
apparent,0,0,2009
apparently,0,0,2009
appear,0,0,2009
appeared,0,0,2009
appearing,0,0,2009
appears,0,0,2009
approximate,0,0,2009
approximated,0,0,2009
approximately,0,0,2009
approximates,0,0,2009
approximating,0,0,2009
approximation,0,0,2009
approximations,0,0,2009
arbitrarily,0,0,2009
arbitrariness,0,0,2009
arbitrary,0,0,2009
argue,2009,0,0
argued,2009,0,0
arguing,2009,0,0
argument,2009,0,0
argumentative,2009,0,0
arguments,2009,0,0
arrearage,2009,0,0
arrearages,2009,0,0
arrears,2009,0,0
arrest,2009,0,0
arrested,2009,0,0
arrests,2009,0,0
artificially,2009,0,0
assault,2009,0,0
assaulted,2009,0,0
assaulting,2009,0,0
assaults,2009,0,0
assertions,2009,0,0
assume,0,0,2009
assumed,0,0,2009
assumes,0,0,2009
assuming,0,0,2009
assumption,0,0,2009
assumptions,0,0,2009
assure,0,2009,0
assured,0,2009,0
assures,0,2009,0
assuring,0,2009,0
attain,0,2009,0
attained,0,2009,0
attaining,0,2009,0
attainment,0,2009,0
attainments,0,2009,0
attains,0,2009,0
attractive,0,2009,0
attractiveness,0,2009,0
attrition,2009,0,0
aversely,2011,0,0
backdating,2009,0,0
bad,2009,0,0
bail,2009,0,0
bailout,2009,0,0
balk,2009,0,0
balked,2009,0,0
bankrupt,2009,0,0
bankruptcies,2009,0,0
bankruptcy,2009,0,0
bankrupted,2009,0,0
bankrupting,2009,0,0
bankrupts,2009,0,0
bans,2009,0,0
barred,2009,0,0
barrier,2009,0,0
barriers,2009,0,0
beautiful,0,2009,0
beautifully,0,2009,0
believe,0,0,2009
believed,0,0,2009
believes,0,0,2009
believing,0,0,2009
beneficial,0,-2020,0
beneficially,0,2009,0
benefit,0,-2020,0
benefited,0,2009,0
benefiting,0,2009,0
benefitted,0,2009,0
benefitting,0,2009,0
best,0,2012,0
better,0,2009,0
bolstered,0,2009,0
bolstering,0,2009,0
bolsters,0,2009,0
boom,0,2009,0
booming,0,2009,0
boost,0,2009,0
boosted,0,2009,0
bottleneck,2009,0,0
bottlenecks,2009,0,0
boycott,2009,0,0
boycotted,2009,0,0
boycotting,2009,0,0
boycotts,2009,0,0
breach,2009,0,0
breached,2009,0,0
breaches,2009,0,0
breaching,2009,0,0
break,2009,0,0
breakage,2009,0,0
breakages,2009,0,0
breakdown,2009,0,0
breakdowns,2009,0,0
breaking,-2020,0,0
breaks,2009,0,0
breakthrough,0,2009,0
breakthroughs,0,2009,0
bribe,2009,0,0
bribed,2009,0,0
briberies,2009,0,0
bribery,2009,0,0
bribes,2009,0,0
bribing,2009,0,0
bridge,-2020,0,0
brilliant,0,2009,0
broken,-2020,0,0
burden,2009,0,0
burdened,2009,0,0
burdening,2009,0,0
burdens,2009,0,0
burdensome,2009,0,0
burned,2009,0,0
calamities,2009,0,0
calamitous,2009,0,0
calamity,2009,0,0
cancel,2009,0,0
canceled,2009,0,0
canceling,2009,0,0
cancellation,2009,0,0
cancellations,2009,0,0
cancelled,2009,0,0
cancelling,2009,0,0
cancels,2009,0,0
careless,2009,0,0
carelessly,2009,0,0
